Nomor,Tanggal,Location Indicator,Nama UPT,Nama Bandara,Jam Operasional (jam),Jumlah Data Masuk,Ketersediaan Data (%),Catatan
1,2025-06-01,WAAA,Sultan Hasanuddin,Sultan Hasanuddin,24,48,100.0,✅ Lengkap
2,2025-06-01,WABA,Nabire,Waghete,24,0,0.0,❌ Tidak ada data
3,2025-06-01,WABB,Frans Kaisiepo,Frans Kaisiepo,24,48,100.0,✅ Lengkap
4,2025-06-01,WABF,Frans Kaisiepo,Numfoor,24,0,0.0,❌ Tidak ada data
5,2025-06-01,WABG,Sentani,Kasonaweja,24,0,0.0,❌ Tidak ada data
6,2025-06-01,WABI,Nabire,Douw Aturure,24,36,75.0,✅ Lengkap
7,2025-06-01,WABO,Sudjarwo Tjondronegoro,Stevanus Rumbewas,24,24,50.0,✅ Lengkap
8,2025-06-01,WADB,Sultan Muhammad Salahuddin,Sultan Muhammad Salahuddin,24,0,0.0,❌ Tidak ada data
9,2025-06-01,WADD,I Gusti Ngurah Rai,I Gusti Ngurah Rai,24,0,0.0,❌ Tidak ada data
10,2025-06-01,WADL,Zainuddin Abdul Madjid,Zainuddin Abdul Madjid,24,0,0.0,❌ Tidak ada data
11,2025-06-01,WADS,Sultan Muhammad Kaharuddin,Sultan Muhammad Kaharuddin,24,0,0.0,❌ Tidak ada data
12,2025-06-01,WADY,Banyuwangi,Banyuwangi,24,0,0.0,❌ Tidak ada data
13,2025-06-01,WAEE,Sultan Babullah,Sultan Babullah,24,48,100.0,✅ Lengkap
14,2025-06-01,WAEG,Gamar Malamo,Gamar Malamo,24,23,47.92,⚠️ Kurang dari 50%
15,2025-06-01,WAEJ,Sultan Babullah,Gebe,24,0,0.0,❌ Tidak ada data
16,2025-06-01,WAEK,Sultan Babullah,Kuabang,24,0,0.0,❌ Tidak ada data
17,2025-06-01,WAEL,Oesman Sadik,Oesman Sadik,24,35,72.92,✅ Lengkap
18,2025-06-01,WAEM,Sultan Babullah,Buli,24,0,0.0,❌ Tidak ada data
19,2025-06-01,WAES,Emalamo,Emalamo,24,24,50.0,✅ Lengkap
20,2025-06-01,WAEW,Lanud Leo Wattimena,Pitu,24,10,20.83,⚠️ Kurang dari 50%
21,2025-06-01,WAFB,Toraja,Toraja,24,14,29.17,⚠️ Kurang dari 50%
22,2025-06-01,WAFD,Andi Jemma,Lagaligo,24,0,0.0,❌ Tidak ada data
23,2025-06-01,WAFF,Mutiara Sis-Al Jufri,Mutiara Sis-Al Jufri,24,48,100.0,✅ Lengkap
24,2025-06-01,WAFJ,Tampa Padang,Tampa Padang,24,48,100.0,✅ Lengkap
25,2025-06-01,WAFK,Andi Jemma,Rampi,24,0,0.0,❌ Tidak ada data
26,2025-06-01,WAFL,Sultan Bantilan,Sultan Bantilan,24,24,50.0,✅ Lengkap
27,2025-06-01,WAFM,Andi Jemma,Andi Jemma,24,48,100.0,✅ Lengkap
28,2025-06-01,WAFN,Andi Jemma,Seko,24,0,0.0,❌ Tidak ada data
29,2025-06-01,WAFO,Mutiara Sis-Al Jufri,Morowali,24,0,0.0,❌ Tidak ada data
30,2025-06-01,WAFP,Kasiguncu,Kasiguncu,24,24,50.0,✅ Lengkap
31,2025-06-01,WAFU,Syukuran Aminuddin Amir,Tanjung Api,24,0,0.0,❌ Tidak ada data
32,2025-06-01,WAFW,Syukuran Aminuddin Amir,Syukuran Aminuddin Amir,24,48,100.0,✅ Lengkap
33,2025-06-01,WAFY,Mutiara Sis-Al Jufri,Pogogul,24,0,0.0,❌ Tidak ada data
34,2025-06-01,WAFZ,Djalaluddin,Panua Pohuwato,24,0,0.0,❌ Tidak ada data
35,2025-06-01,WAGA,Tjilik Riwut,Kuala Kurun,24,0,0.0,❌ Tidak ada data
36,2025-06-01,WAGB,Beringin,Hajji Muhammad Sidik,24,0,0.0,❌ Tidak ada data
37,2025-06-01,WAGF,H. Asan,Kuala Pembuang,24,0,0.0,❌ Tidak ada data
38,2025-06-01,WAGG,Tjilik Riwut,Tjilik Riwut,24,0,0.0,❌ Tidak ada data
39,2025-06-01,WAGI,Iskandar,Iskandar,24,0,0.0,❌ Tidak ada data
40,2025-06-01,WAGM,Sanggu,Sanggu,24,0,0.0,❌ Tidak ada data
41,2025-06-01,WAGP,Beringin,Purukcahu,24,0,0.0,❌ Tidak ada data
42,2025-06-01,WAGS,H. Asan,H. Asan,24,0,0.0,❌ Tidak ada data
43,2025-06-01,WAHH,Lanud Adisutjipto,Adisutjipto,24,24,50.0,✅ Lengkap
44,2025-06-01,WAHI,Yogyakarta,Yogyakarta,24,48,100.0,✅ Lengkap
45,2025-06-01,WAHL,Tunggul Wulung,Tunggul Wulung,24,0,0.0,❌ Tidak ada data
46,2025-06-01,WAHQ,Lanud Adi Soemarmo,Adi Soemarmo,24,0,0.0,❌ Tidak ada data
47,2025-06-01,WAHS,Ahmad Yani,Jenderal Ahmad Yani,24,0,0.0,❌ Tidak ada data
48,2025-06-01,WAHU,Ahmad Yani,Dewadaru,24,0,0.0,❌ Tidak ada data
49,2025-06-01,WAJI,Torea,Mararena,24,19,39.58,⚠️ Kurang dari 50%
50,2025-06-01,WAJJ,Sentani,Sentani,24,48,100.0,✅ Lengkap
51,2025-06-01,WAJO,Wamena,Oksibil,24,0,0.0,❌ Tidak ada data
52,2025-06-01,WAJS,Sentani,Senggeh,24,0,0.0,❌ Tidak ada data
53,2025-06-01,WAKG,Mozez Kilangin,Ewer,24,0,0.0,❌ Tidak ada data
54,2025-06-01,WAKJ,Mopah,Kimaam,24,0,0.0,❌ Tidak ada data
55,2025-06-01,WAKK,Mopah,Mopah,24,48,100.0,✅ Lengkap
56,2025-06-01,WAKO,Mopah,Okaba,24,0,0.0,❌ Tidak ada data
57,2025-06-01,WAKP,Mopah,Kepi,24,0,0.0,❌ Tidak ada data
58,2025-06-01,WAKT,Tanah Merah,Tanah Merah,24,23,47.92,⚠️ Kurang dari 50%
59,2025-06-01,WALE,Sultan Aji Muhammad Sulaiman Sepinggan,Melak,24,0,0.0,❌ Tidak ada data
60,2025-06-01,WALL,Sultan Aji Muhammad Sulaiman Sepinggan,Sultan Aji Muhammad Sulaiman,24,0,0.0,❌ Tidak ada data
61,2025-06-01,WALS,Ajipangeran Tumenggung Pranoto,Ajipangeran Tumenggung Pranoto,24,0,0.0,❌ Tidak ada data
62,2025-06-01,WAMG,Djalaluddin,Djalaluddin,24,48,100.0,✅ Lengkap
63,2025-06-01,WAMH,Naha,Naha,24,48,100.0,✅ Lengkap
64,2025-06-01,WAMI,Sam Ratulangi,Bolaang Mongondow,24,0,0.0,❌ Tidak ada data
65,2025-06-01,WAMM,Sam Ratulangi,Sam Ratulangi,24,48,100.0,✅ Lengkap
66,2025-06-01,WAMN,Sam Ratulangi,Melonguane,24,0,0.0,❌ Tidak ada data
67,2025-06-01,WAMS,Sam Ratulangi,Miangas,24,0,0.0,❌ Tidak ada data
68,2025-06-01,WAOC,Gusti Syamsir Alam,Bersujud,24,0,0.0,❌ Tidak ada data
69,2025-06-01,WAOK,Gusti Syamsir Alam,Gusti Syamsir Alam,24,0,0.0,❌ Tidak ada data
